day,t2m_C
2023-09-19,15.677124
2023-09-20,17.937347
2023-09-21,16.055603
2023-09-22,12.58725
2023-09-23,11.805145
2023-09-24,12.280212
2023-09-25,13.5946045
2023-09-26,14.417633
2023-09-27,16.043549
2023-09-28,16.421509
2023-09-29,14.210876
2023-09-30,13.07019
2023-10-01,15.243103
2023-10-02,16.679352
2023-10-03,16.435059
2023-10-04,13.779266
2023-10-05,14.319489
2023-10-06,15.017792
2023-10-07,17.700928
2023-10-08,15.018585
2023-10-09,15.691284
2023-10-10,15.572144
2023-10-11,16.701172
2023-10-12,15.365356
2023-10-13,16.620453
2023-10-14,10.154144
2023-10-15,7.15036
2023-10-16,7.191681
2023-10-17,6.7617188
2023-10-18,8.03894
2023-10-19,13.339996
2023-10-20,12.553925
2023-10-21,12.632996
2023-10-22,10.413605
2023-10-23,9.303986
2023-10-24,11.034729
2023-10-25,9.194855
2023-10-26,8.596863
2023-10-27,10.041504
2023-10-28,10.574097
2023-10-29,12.212524
2023-10-30,10.4001465
2023-10-31,10.623962
2023-11-01,10.847595
2023-11-02,9.919617
2023-11-03,8.972931
2023-11-04,9.179138
2023-11-05,9.628021
2023-11-06,9.232605
2023-11-07,8.830627
2023-11-08,9.305847
2023-11-09,8.658569
2023-11-10,7.0253296
2023-11-11,6.5800476
2023-11-12,4.9741516
2023-11-13,9.157623
2023-11-14,11.357452
2023-11-15,10.1232605
2023-11-16,6.5737305
2023-11-17,4.1722107
2023-11-18,8.386353
2023-11-19,12.442444
2023-11-20,9.446594
2023-11-21,6.7755127
2023-11-22,5.20166
2023-11-23,10.655701
2023-11-24,6.8475647
2023-11-25,4.9384766
2023-11-26,4.6168213
2023-11-27,3.7871704
2023-11-28,2.423462
2023-11-29,2.0390015
2023-11-30,-0.42788696
2023-12-01,-2.1130066
2023-12-02,-1.2872925
2023-12-03,0.27313232
2023-12-04,1.1711426
2023-12-05,1.7869263
2023-12-06,1.6598816
2023-12-07,0.7487793
2023-12-08,4.468628
2023-12-09,8.627747
2023-12-10,9.520447
2023-12-11,8.9227295
2023-12-12,7.234009
2023-12-13,7.572113
2023-12-14,5.6798096
2023-12-15,7.241577
2023-12-16,8.653381
2023-12-17,8.313995
2023-12-18,7.879547
2023-12-19,7.8618774
2023-12-20,8.20108
2023-12-21,8.988159
2023-12-22,7.868469
2023-12-23,9.468933
2023-12-24,11.278229
2023-12-25,11.342743
2023-12-26,6.9495544
2023-12-27,6.3377075
2023-12-28,10.529694
2023-12-29,8.987244
2023-12-30,8.296509
2023-12-31,8.935303
