day,t2m_C
2023-08-19,30.760315
2023-08-20,32.516846
2023-08-21,33.678772
2023-08-22,33.85132
2023-08-23,33.096497
2023-08-24,33.16095
2023-08-25,32.38922
2023-08-26,27.974976
2023-08-27,20.712158
2023-08-28,22.903168
2023-08-29,23.5961
2023-08-30,23.747833
2023-08-31,25.821869
2023-09-01,26.994598
2023-09-02,20.24826
2023-09-03,18.409424
2023-09-04,19.899841
2023-09-05,22.772705
2023-09-06,23.943848
2023-09-07,24.800049
2023-09-08,25.33667
2023-09-09,23.955841
2023-09-10,24.401764
2023-09-11,22.669067
2023-09-12,22.248108
2023-09-13,23.188965
2023-09-14,23.155579
2023-09-15,20.610992
2023-09-16,19.358826
2023-09-17,16.76056
2023-09-18,18.134155
2023-09-19,20.271545
2023-09-20,20.09906
2023-09-21,15.864014
2023-09-22,17.164642
2023-09-23,17.618103
2023-09-24,20.459991
2023-09-25,22.531158
2023-09-26,22.454224
2023-09-27,22.432007
2023-09-28,23.203857
2023-09-29,24.701874
2023-09-30,24.714172
2023-10-01,25.05249
2023-10-02,24.047852
2023-10-03,23.546143
2023-10-04,23.014404
2023-10-05,24.222443
2023-10-06,24.758667
2023-10-07,24.12201
2023-10-08,23.69046
2023-10-09,22.78122
2023-10-10,21.851868
2023-10-11,21.289581
2023-10-12,21.710419
2023-10-13,20.803864
2023-10-14,18.37857
2023-10-15,17.626862
2023-10-16,17.451477
2023-10-17,20.13739
2023-10-18,18.271912
2023-10-19,15.357117
2023-10-20,14.38446
2023-10-21,12.714905
2023-10-22,13.151001
2023-10-23,13.30542
2023-10-24,11.906433
2023-10-25,16.048187
2023-10-26,16.650574
2023-10-27,13.614685
2023-10-28,14.455017
2023-10-29,14.689789
2023-10-30,13.329773
2023-10-31,10.290161
2023-11-01,12.310333
2023-11-02,13.569519
2023-11-03,11.262512
2023-11-04,13.233551
2023-11-05,11.802551
2023-11-06,10.313782
2023-11-07,8.028687
2023-11-08,9.308594
2023-11-09,13.597595
2023-11-10,12.554749
2023-11-11,16.515442
2023-11-12,17.033417
2023-11-13,16.098206
2023-11-14,13.617645
2023-11-15,13.425171
2023-11-16,13.116333
2023-11-17,13.6241455
2023-11-18,13.422119
2023-11-19,13.831818
