day,t2m_C
2023-09-18,15.249847
2023-09-19,15.3420105
2023-09-20,16.403809
2023-09-21,12.370697
2023-09-22,11.300293
2023-09-23,10.973267
2023-09-24,15.059509
2023-09-25,15.958038
2023-09-26,14.565582
2023-09-27,15.895447
2023-09-28,16.135376
2023-09-29,15.483826
2023-09-30,13.141144
2023-10-01,17.007263
2023-10-02,16.673828
2023-10-03,13.759918
2023-10-04,12.53952
2023-10-05,13.415039
2023-10-06,14.999237
2023-10-07,16.173767
2023-10-08,14.842651
2023-10-09,15.03421
2023-10-10,14.695679
2023-10-11,15.62384
2023-10-12,14.692017
2023-10-13,13.616394
2023-10-14,7.9080505
2023-10-15,4.714966
2023-10-16,5.927185
2023-10-17,10.283203
2023-10-18,12.90387
2023-10-19,15.025696
2023-10-20,13.591187
2023-10-21,11.145996
2023-10-22,8.078796
2023-10-23,8.874939
2023-10-24,8.854065
2023-10-25,9.469269
2023-10-26,9.617859
2023-10-27,8.477539
2023-10-28,10.886932
2023-10-29,10.2543335
2023-10-30,9.315186
2023-10-31,8.65506
2023-11-01,11.176697
2023-11-02,9.8003235
2023-11-03,8.360962
2023-11-04,7.337677
2023-11-05,8.292084
2023-11-06,8.049652
2023-11-07,6.782959
2023-11-08,6.966156
2023-11-09,6.578186
2023-11-10,5.70697
2023-11-11,3.7825317
2023-11-12,6.573761
2023-11-13,11.003479
2023-11-14,10.330444
2023-11-15,7.68219
2023-11-16,5.156067
2023-11-17,6.060547
2023-11-18,11.195282
2023-11-19,11.72403
2023-11-20,9.838196
2023-11-21,9.126099
2023-11-22,7.942566
2023-11-23,10.78006
2023-11-24,6.520569
2023-11-25,0.88165283
2023-11-26,3.5678406
2023-11-27,7.241272
2023-11-28,4.0357666
2023-11-29,1.3764038
2023-11-30,-0.73876953
2023-12-01,-0.9336548
2023-12-02,-1.8473511
2023-12-03,4.433777
2023-12-04,5.8760376
2023-12-05,4.795227
2023-12-06,2.9841003
2023-12-07,6.1244507
2023-12-08,7.5871277
2023-12-09,8.991852
2023-12-10,9.308044
2023-12-11,8.746277
2023-12-12,8.872192
2023-12-13,7.1233826
2023-12-14,5.4306335
2023-12-15,6.6053467
2023-12-16,8.684143
2023-12-17,9.675964
2023-12-18,10.362793
2023-12-19,8.724182
2023-12-20,7.6473694
2023-12-21,11.056519
2023-12-22,10.2942505
2023-12-23,9.629913
2023-12-24,12.203857
2023-12-25,11.947571
2023-12-26,6.8032227
2023-12-27,8.860321
2023-12-28,10.939697
2023-12-29,8.395447
2023-12-30,8.415985
2023-12-31,8.277252
